Date,NPI,Year,Month
197610,1012.2,1976,10
197611,1007.68,1976,11
197612,1005.06,1976,12
197701,999.02,1977,01
197702,1001.18,1977,02
197703,1016.83,1977,03
197704,1016.83,1977,04
197705,1015.61,1977,05
197706,1015.16,1977,06
197707,1017.82,1977,07
197708,1014.03,1977,08
197709,1016.62,1977,09
197710,1011.43,1977,10
197711,1012.48,1977,11
197712,1010,1977,12
197801,1000.57,1978,01
197802,1000.56,1978,02
197803,1008.85,1978,03
197804,1013.99,1978,04
197805,1017.65,1978,05
197806,1018.11,1978,06
197807,1017.46,1978,07
197808,1015.19,1978,08
197809,1013.89,1978,09
197810,1012.25,1978,10
197811,1011.24,1978,11
197812,1012.85,1978,12
197901,1006.27,1979,01
197902,1014.25,1979,02
197903,1008.15,1979,03
197904,1015.65,1979,04
197905,1013.37,1979,05
197906,1018.9,1979,06
197907,1016.9,1979,07
197908,1014.24,1979,08
197909,1012.3,1979,09
197910,1008.8,1979,10
197911,1012.46,1979,11
197912,1008.99,1979,12
198001,1006.58,1980,01
198002,999.87,1980,02
198003,1010.53,1980,03
198004,1011.33,1980,04
198005,1014.53,1980,05
198006,1018.83,1980,06
198007,1017.14,1980,07
198008,1018.32,1980,08
198009,1014.71,1980,09
198010,1010.47,1980,10
198011,1007.71,1980,11
198012,1005.7,1980,12
198101,996.44,1981,01
198102,1005.35,1981,02
198103,1006.99,1981,03
198104,1014.89,1981,04
198105,1013.15,1981,05
198106,1014.9,1981,06
198107,1019.23,1981,07
198108,1015.37,1981,08
198109,1014.53,1981,09
198110,1014.26,1981,10
198111,1008.77,1981,11
198112,1008.19,1981,12
198201,1009.35,1982,01
198202,1011.89,1982,02
198203,1014.81,1982,03
198204,1018.03,1982,04
198205,1016.54,1982,05
198206,1013.25,1982,06
198207,1016.69,1982,07
198208,1017.83,1982,08
198209,1014.84,1982,09
198210,1015.2,1982,10
198211,1009.12,1982,11
198212,1005.95,1982,12
198301,1001.17,1983,01
198302,997.66,1983,02
198303,1003.4,1983,03
198304,1016.23,1983,04
198305,1015.52,1983,05
198306,1013.57,1983,06
198307,1017.07,1983,07
198308,1017.83,1983,08
198309,1016.75,1983,09
198310,1014.12,1983,10
198311,1005.02,1983,11
198312,1007.09,1983,12
198401,1006.78,1984,01
198402,1007.5,1984,02
198403,1005.01,1984,03
198404,1015.6,1984,04
198405,1015.5,1984,05
198406,1014.88,1984,06
198407,1018.53,1984,07
198408,1015.7,1984,08
198409,1012.16,1984,09
198410,1011.95,1984,10
198411,1008.04,1984,11
198412,1010.8,1984,12
198501,1000.04,1985,01
198502,1014.16,1985,02
198503,1016.99,1985,03
198504,1017.62,1985,04
198505,1015.62,1985,05
198506,1015.55,1985,06
198507,1017.43,1985,07
198508,1018.13,1985,08
198509,1015.87,1985,09
198510,1015.66,1985,10
198511,1012.52,1985,11
198512,1001.79,1985,12
198601,1001.44,1986,01
198602,1000.52,1986,02
198603,1007.7,1986,03
198604,1018.11,1986,04
198605,1015.26,1986,05
198606,1013.85,1986,06
198607,1017.83,1986,07
198608,1015.37,1986,08
198609,1015.04,1986,09
198610,1010.96,1986,10
198611,1011.89,1986,11
198612,1001,1986,12
198701,1003.22,1987,01
198702,1005.45,1987,02
198703,1008.28,1987,03
198704,1012.3,1987,04
198705,1016.47,1987,05
198706,1013.99,1987,06
198707,1015.87,1987,07
198708,1016.65,1987,08
198709,1015.43,1987,09
198710,1012.45,1987,10
198711,1009.72,1987,11
198712,1009.49,1987,12
198801,1005.4,1988,01
198802,1004.18,1988,02
198803,1011.88,1988,03
198804,1013.58,1988,04
